title,year,hour,Rated
1. The Shawshank Redemption,1994,2h 22m,R
2. The Godfather,1972,2h 55m,R
3. The Dark Knight,2008,2h 32m,PG-13
4. The Godfather Part II,1974,3h 22m,R
5. 12 Angry Men,1957,1h 36m,Approved
6. The Lord of the Rings: The Return of the King,2003,3h 21m,PG-13
7. Schindler's List,1993,3h 15m,R
8. Pulp Fiction,1994,2h 34m,R
9. The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,PG-13
"10. The Good, the Bad and the Ugly",1966,2h 58m,R
11. Forrest Gump,1994,2h 22m,PG-13
12. The Lord of the Rings: The Two Towers,2002,2h 59m,PG-13
13. Fight Club,1999,2h 19m,R
14. Inception,2010,2h 28m,PG-13
15. Star Wars: Episode V - The Empire Strikes Back,1980,2h 4m,PG
16. The Matrix,1999,2h 16m,R
17. Goodfellas,1990,2h 25m,R
18. Interstellar,2014,2h 49m,PG-13
19. One Flew Over the Cuckoo's Nest,1975,2h 13m,R
20. Se7en,1995,2h 7m,R
21. It's a Wonderful Life,1946,2h 10m,PG
22. The Silence of the Lambs,1991,1h 58m,R
23. Seven Samurai,1954,3h 27m,Not Rated
24. Saving Private Ryan,1998,2h 49m,R
25. The Green Mile,1999,3h 9m,R
26. City of God,2002,2h 10m,R
27. Life Is Beautiful,1997,1h 56m,PG-13
28. Terminator 2: Judgment Day,1991,2h 17m,R
29. Star Wars: Episode IV - A New Hope,1977,2h 1m,PG
30. Back to the Future,1985,1h 56m,PG
31. Spirited Away,2001,2h 4m,PG
32. The Pianist,2002,2h 30m,R
33. Gladiator,2000,2h 35m,R
34. Parasite,2019,2h 12m,R
35. Psycho,1960,1h 49m,R
36. The Lion King,1994,1h 28m,G
37. Grave of the Fireflies,1988,1h 28m,Not Rated
38. The Departed,2006,2h 31m,R
39. Whiplash,2014,1h 46m,R
40. Harakiri,1962,2h 13m,Not Rated
41. The Prestige,2006,2h 10m,PG-13
42. American History X,1998,1h 59m,R
43. Léon: The Professional,1994,1h 50m,R
44. Spider-Man: Across the Spider-Verse,2023,2h 20m,PG
45. Casablanca,1942,1h 42m,PG
46. Cinema Paradiso,1988,2h 54m,PG
